iter	MultiClass
0	1.014086684
1	0.9450469524
2	0.8845547941
3	0.8334660412
4	0.7919503139
5	0.7561735233
6	0.7237979998
7	0.6978220396
8	0.6750869312
9	0.6535191271
10	0.6341019016
11	0.6174126168
12	0.6022895314
13	0.5894682812
14	0.5768505706
15	0.5666588768
16	0.5568752798
17	0.5479357454
18	0.5404103301
19	0.5334137187
20	0.5269020575
21	0.5206896821
22	0.5145058216
23	0.5092664809
24	0.5050282606
25	0.5010886451
26	0.4969699255
27	0.4931489858
28	0.4902960186
29	0.4877274825
30	0.4840164907
31	0.4818527605
32	0.4789608978
33	0.4770770749
34	0.4749247775
35	0.4729430098
36	0.4710855826
37	0.4691596042
38	0.4675618229
39	0.4653617123
40	0.4638430029
41	0.4624333829
42	0.46108149
43	0.4599497874
44	0.4579598634
45	0.4563799856
46	0.4552301802
47	0.4542213536
48	0.4531571378
49	0.4518975087
50	0.4507178113
51	0.4496825221
52	0.4484084713
53	0.4472066757
54	0.4462261589
55	0.4452681858
56	0.4443341994
57	0.4428963299
58	0.4418571312
59	0.4407322748
60	0.4396593414
61	0.4387864883
62	0.4377596018
63	0.4365031414
64	0.4358291215
65	0.4347917566
66	0.4339254224
67	0.4332900769
68	0.4327121779
69	0.4321495037
70	0.4312656248
71	0.4304574267
72	0.4297782271
73	0.4286936481
74	0.4283207071
75	0.4274498565
76	0.4265471064
77	0.4258841633
78	0.4247637362
79	0.4239438614
80	0.4230581934
81	0.4221688575
82	0.4209333909
83	0.419820884
84	0.4190894307
85	0.4184576535
86	0.4178863667
87	0.4172356768
88	0.4164358966
89	0.4156990884
90	0.4151116815
91	0.414407846
92	0.4137137929
93	0.4131400711
94	0.4127552851
95	0.4121909973
96	0.4114903963
97	0.4108747176
98	0.4102919859
99	0.409523596
100	0.4085160007
101	0.4076977154
102	0.4071132524
103	0.4067767655
104	0.4062791831
105	0.4057704082
106	0.4051802338
107	0.4046214159
108	0.404172175
109	0.4033016858
110	0.4027778431
111	0.4017974898
112	0.4013313226
113	0.4007863079
114	0.400260831
115	0.3997275361
116	0.3990173704
117	0.3983977582
118	0.3980138469
119	0.397640604
120	0.3968622604
121	0.3964518263
122	0.3957340546
123	0.3952515699
124	0.3946744195
125	0.3940770228
126	0.3936518599
127	0.3930378308
128	0.3924305485
129	0.3920028076
130	0.3914213609
131	0.3909846751
132	0.3903153031
133	0.3895697776
134	0.3891109835
135	0.3883062019
136	0.3876385596
137	0.3870895875
138	0.3864589019
139	0.3854016493
140	0.3849417443
141	0.3845982951
142	0.3839619977
143	0.3835102069
144	0.3830266397
145	0.3827748274
146	0.3820924741
147	0.3816056924
148	0.3812595195
149	0.3807362357
150	0.3803401228
151	0.3798146134
152	0.3793312208
153	0.3790312834
154	0.3785994016
155	0.3777480863
156	0.377141676
157	0.3766930528
158	0.3761438289
159	0.3754648561
160	0.3749066499
161	0.3745354283
162	0.374094214
163	0.3736895284
164	0.3733230123
165	0.3728790409
166	0.3725792835
