iter	Passed	Remaining
139	1951	11987
140	1965	11973
141	1978	11955
142	1991	11936
143	2005	11923
144	2019	11908
145	2033	11894
146	2048	11884
147	2061	11869
148	2074	11848
149	2088	11835
150	2102	11819
151	2117	11816
152	2131	11802
153	2145	11786
154	2160	11776
155	2174	11763
156	2188	11752
157	2203	11740
158	2217	11728
159	2232	11718
160	2246	11706
161	2260	11691
162	2274	11680
163	2288	11663
164	2302	11651
165	2316	11639
166	2330	11626
167	2344	11610
168	2357	11593
169	2370	11575
170	2384	11559
171	2398	11546
172	2412	11534
173	2427	11523
174	2441	11511
175	2454	11492
176	2469	11480
177	2482	11465
178	2497	11456
179	2511	11442
180	2526	11431
181	2540	11417
182	2552	11396
183	2565	11378
184	2580	11366
185	2593	11351
186	2607	11336
187	2622	11327
188	2635	11309
189	2649	11296
190	2665	11288
191	2679	11274
192	2692	11259
193	2706	11246
194	2720	11232
195	2735	11220
196	2748	11203
197	2763	11192
198	2777	11179
199	2791	11165
200	2805	11153
201	2819	11137
202	2832	11119
203	2845	11104
204	2859	11090
205	2873	11074
206	2886	11059
207	2900	11043
208	2913	11027
209	2927	11011
210	2941	10999
211	2955	10984
212	2968	10967
213	2981	10952
214	2995	10935
215	3007	10917
216	3020	10899
217	3034	10885
218	3047	10868
219	3061	10853
220	3073	10835
221	3087	10820
222	3100	10804
223	3114	10791
224	3128	10776
225	3142	10763
226	3156	10748
227	3170	10735
228	3184	10719
229	3197	10703
230	3210	10687
231	3224	10672
232	3238	10661
233	3252	10647
234	3266	10633
235	3281	10621
236	3293	10604
237	3307	10590
238	3322	10578
239	3336	10566
240	3350	10552
241	3364	10539
242	3378	10524
243	3392	10510
244	3406	10498
245	3420	10485
246	3435	10472
247	3449	10458
248	3463	10445
249	3477	10431
250	3490	10416
251	3504	10402
252	3518	10388
253	3533	10376
254	3546	10362
255	3560	10347
256	3573	10330
257	3588	10319
258	3602	10305
259	3615	10289
260	3629	10277
261	3643	10263
262	3656	10247
263	3670	10233
264	3684	10219
265	3698	10205
266	3711	10190
267	3726	10177
268	3740	10163
269	3753	10147
270	3766	10132
271	3781	10119
272	3795	10106
273	3808	10091
274	3822	10078
275	3836	10063
276	3850	10050
277	3865	10038
278	3878	10023
279	3892	10009
280	3906	9995
281	3919	9980
282	3933	9966
283	3948	9953
284	3962	9941
285	3977	9929
286	3990	9913
287	4005	9902
288	4019	9888
289	4034	9876
290	4048	9863
291	4062	9850
292	4076	9836
293	4091	9824
294	4105	9811
295	4119	9797
296	4133	9784
297	4147	9770
298	4161	9756
299	4175	9742
300	4190	9730
301	4203	9716
302	4216	9699
303	4230	9686
304	4244	9671
305	4257	9656
306	4272	9644
307	4286	9630
308	4300	9616
309	4313	9600
310	4327	9587
311	4341	9573
312	4355	9558
313	4369	9545
314	4382	9530
315	4396	9516
316	4411	9504
317	4425	9491
318	4438	9475
319	4452	9462
320	4467	9449
321	4481	9435
322	4494	9420
323	4508	9406
324	4522	9392
325	4536	9378
326	4549	9364
327	4563	9348
328	4577	9335
329	4591	9322
330	4606	9310
331	4620	9297
332	4634	9283
333	4648	9270
334	4662	9255
335	4676	9241
336	4690	9227
337	4705	9215
338	4719	9202
339	4733	9188
340	4748	9175
341	4761	9160
342	4774	9145
343	4789	9132
344	4803	9118
345	4816	9103
346	4829	9088
347	4843	9073
348	4856	9058
349	4869	9043
350	4883	9029
351	4896	9014
352	4910	9000
353	4924	8985
354	4937	8970
355	4950	8955
356	4963	8940
357	4977	8925
358	4990	8910
359	5003	8895
360	5017	8881
361	5030	8865
362	5043	8851
363	5057	8836
364	5071	8823
365	5084	8808
366	5098	8794
367	5112	8779
368	5126	8767
369	5141	8754
370	5154	8739
371	5168	8725
372	5182	8711
373	5196	8697
374	5211	8685
375	5225	8672
376	5240	8660
377	5253	8644
378	5267	8631
379	5281	8617
380	5294	8602
381	5309	8588
382	5323	8575
383	5337	8561
384	5350	8546
385	5364	8533
386	5377	8518
387	5392	8504
388	5405	8490
389	5419	8477
390	5432	8461
391	5447	8448
392	5461	8434
393	5475	8422
394	5489	8408
395	5503	8394
396	5517	8380
397	5531	8366
398	5548	8357
399	5562	8344
400	5577	8330
401	5590	8316
402	5605	8303
403	5619	8290
404	5632	8275
405	5647	8261
406	5661	8248
407	5675	8234
408	5688	8220
409	5702	8206
410	5715	8190
411	5729	8177
412	5744	8164
413	5758	8150
414	5772	8137
415	5786	8123
416	5800	8109
417	5813	8093
418	5826	8079
419	5841	8066
420	5854	8051
421	5869	8038
422	5882	8024
423	5897	8011
424	5910	7996
425	5924	7983
426	5938	7969
427	5953	7956
428	5966	7941
429	5979	7926
430	5993	7912
431	6007	7898
432	6021	7885
433	6035	7871
434	6049	7857
435	6064	7844
436	6077	7829
437	6091	7815
438	6106	7803
439	6120	7789
440	6134	7776
441	6149	7763
442	6163	7749
443	6176	7735
444	6190	7720
445	6205	7707
446	6219	7694
447	6234	7681
448	6248	7668
449	6262	7653
450	6277	7641
451	6290	7626
452	6304	7612
453	6317	7597
454	6331	7583
455	6345	7569
456	6359	7556
457	6372	7541
458	6387	7528
459	6401	7514
460	6415	7500
461	6429	7487
462	6443	7473
463	6458	7460
464	6471	7445
465	6485	7431
466	6499	7417
467	6512	7403
468	6526	7389
469	6540	7375
470	6554	7361
471	6568	7347
472	6582	7334
473	6596	7320
474	6611	7306
475	6624	7292
476	6638	7278
477	6651	7264
478	6665	7250
479	6680	7237
480	6694	7223
481	6708	7209
482	6722	7196
483	6736	7181
484	6750	7168
485	6765	7155
486	6778	7140
487	6792	7127
488	6806	7112
489	6820	7098
490	6833	7083
491	6846	7069
492	6860	7054
493	6874	7041
494	6887	7026
495	6900	7011
496	6913	6996
497	6927	6982
498	6940	6968
499	6954	6954
500	6967	6939
501	6980	6925
502	6993	6910
503	7006	6895
504	7020	6881
505	7032	6866
506	7046	6851
507	7059	6837
508	7073	6823
509	7086	6808
510	7100	6795
511	7114	6780
512	7128	6767
513	7142	6753
514	7157	6740
515	7171	6726
516	7185	6712
517	7199	6698
518	7213	6684
519	7228	6672
520	7242	6658
521	7257	6645
522	7271	6632
523	7285	6618
524	7299	6604
525	7313	6590
526	7327	6576
527	7341	6562
528	7355	6549
529	7370	6535
530	7384	6522
531	7397	6507
532	7411	6493
533	7424	6479
534	7438	6465
535	7452	6451
536	7466	6437
537	7480	6423
538	7493	6409
539	7508	6396
540	7522	6382
541	7536	6368
542	7551	6355
543	7565	6341
544	7579	6327
545	7593	6313
546	7607	6299
547	7621	6286
548	7635	6272
549	7649	6258
550	7662	6244
551	7675	6229
552	7689	6215
553	7704	6202
554	7719	6189
555	7733	6175
556	7747	6161
557	7761	6148
558	7775	6133
559	7789	6120
560	7804	6107
561	7818	6093
562	7832	6079
563	7846	6065
564	7860	6051
565	7874	6037
566	7887	6023
567	7902	6010
568	7916	5996
569	7931	5983
570	7945	5969
571	7959	5955
572	7972	5941
573	7986	5927
574	8000	5913
575	8014	5899
576	8028	5885
577	8042	5872
578	8056	5858
579	8071	5844
580	8085	5830
581	8098	5816
582	8113	5803
583	8128	5789
584	8142	5776
585	8156	5762
586	8170	5748
587	8184	5734
588	8198	5720
589	8211	5706
590	8226	5693
591	8242	5680
592	8256	5666
593	8270	5652
594	8283	5638
595	8296	5623
596	8310	5609
597	8324	5596
598	8338	5582
599	8352	5568
600	8366	5554
601	8379	5540
602	8394	5526
603	8408	5512
604	8422	5498
605	8436	5484
606	8449	5470
607	8464	5457
608	8479	5443
609	8492	5429
610	8506	5415
611	8520	5401
612	8534	5387
613	8547	5373
614	8561	5359
615	8575	5346
616	8590	5332
617	8604	5318
618	8617	5304
619	8631	5290
620	8644	5276
621	8658	5261
622	8671	5247
623	8686	5234
624	8701	5220
625	8715	5206
626	8728	5192
627	8742	5178
628	8756	5164
629	8770	5150
630	8784	5136
631	8798	5122
632	8811	5108
633	8824	5094
634	8837	5079
635	8850	5065
636	8863	5050
637	8877	5036
638	8890	5022
639	8904	5008
640	8917	4994
641	8930	4979
642	8943	4965
643	8956	4951
644	8970	4937
645	8983	4922
646	8996	4908
647	9010	4894
648	9023	4880
649	9037	4866
650	9051	4852
651	9064	4837
652	9079	4824
653	9093	4811
654	9107	4796
655	9122	4783
656	9136	4770
657	9151	4756
658	9165	4742
659	9178	4728
660	9192	4714
661	9205	4699
662	9219	4686
663	9233	4672
664	9247	4658
665	9261	4644
666	9275	4630
667	9288	4616
668	9302	4602
669	9316	4588
670	9329	4574
671	9344	4560
672	9358	4546
673	9370	4532
674	9384	4518
675	9399	4505
676	9413	4491
677	9427	4477
678	9442	4463
679	9456	4449
680	9469	4435
681	9483	4421
682	9497	4407
683	9513	4395
684	9529	4382
685	9544	4368
686	9558	4354
687	9572	4340
688	9585	4326
689	9600	4313
690	9613	4299
691	9626	4284
692	9641	4271
693	9655	4257
694	9670	4243
695	9684	4230
696	9699	4216
697	9712	4202
698	9727	4188
699	9741	4174
700	9755	4161
701	9769	4147
702	9783	4133
703	9798	4119
704	9813	4106
705	9826	4092
706	9840	4078
707	9855	4064
708	9869	4050
709	9882	4036
710	9896	4022
711	9911	4009
712	9925	3995
713	9939	3981
714	9953	3967
715	9968	3954
716	9982	3940
717	9996	3926
718	10010	3912
719	10024	3898
720	10037	3884
721	10051	3870
722	10066	3856
723	10078	3842
724	10093	3828
725	10107	3814
726	10120	3800
727	10135	3786
728	10149	3773
729	10163	3759
730	10177	3745
731	10191	3731
732	10205	3717
733	10219	3703
734	10233	3689
735	10247	3675
736	10260	3661
737	10275	3647
738	10289	3633
739	10303	3620
740	10318	3606
741	10332	3592
742	10347	3579
743	10360	3564
744	10374	3550
745	10388	3537
746	10404	3523
747	10417	3509
748	10432	3495
749	10446	3482
750	10459	3468
751	10474	3454
752	10488	3440
753	10502	3426
754	10516	3412
755	10530	3398
756	10545	3385
757	10558	3370
758	10572	3356
759	10586	3343
760	10600	3329
761	10615	3315
762	10629	3301
763	10643	3287
764	10656	3273
765	10670	3259
766	10684	3245
767	10698	3231
768	10712	3218
769	10726	3204
770	10739	3189
771	10754	3176
772	10767	3162
773	10780	3147
774	10793	3133
775	10807	3119
776	10821	3105
777	10834	3091
778	10848	3077
779	10862	3063
780	10876	3049
781	10889	3035
782	10903	3021
783	10915	3007
784	10929	2993
785	10942	2979
786	10956	2965
787	10969	2951
788	10982	2937
789	10996	2923
790	11009	2908
791	11023	2895
792	11036	2880
793	11051	2867
794	11067	2853
795	11081	2839
796	11095	2826
797	11109	2812
798	11123	2798
799	11137	2784
800	11151	2770
801	11165	2756
802	11182	2743
803	11203	2731
804	11222	2718
805	11236	2704
806	11252	2691
807	11266	2677
808	11281	2663
809	11297	2649
810	11311	2636
811	11326	2622
812	11340	2608
813	11353	2594
814	11368	2580
815	11381	2566
816	11396	2552
817	11411	2538
818	11425	2525
819	11440	2511
820	11454	2497
821	11468	2483
822	11481	2469
823	11495	2455
824	11509	2441
825	11523	2427
826	11538	2413
827	11552	2399
828	11566	2385
829	11580	2371
830	11593	2357
831	11608	2344
832	11623	2330
833	11637	2316
834	11651	2302
835	11665	2288
836	11678	2274
837	11692	2260
838	11707	2246
839	11722	2232
840	11736	2218
841	11749	2204
842	11763	2190
843	11777	2176
844	11791	2162
845	11805	2148
846	11819	2134
847	11833	2121
848	11847	2107
849	11860	2093
850	11874	2079
851	11888	2065
852	11903	2051
853	11917	2037
854	11931	2023
855	11946	2009
856	11960	1995
857	11973	1981
858	11988	1967
859	12003	1954
860	12018	1940
861	12032	1926
862	12046	1912
863	12061	1898
864	12075	1884
865	12088	1870
866	12103	1856
867	12117	1842
868	12131	1828
869	12146	1815
870	12161	1801
871	12175	1787
872	12188	1773
873	12202	1759
874	12217	1745
875	12231	1731
876	12246	1717
877	12261	1703
878	12275	1689
879	12288	1675
880	12302	1661
881	12316	1647
882	12331	1633
883	12345	1619
884	12359	1606
885	12374	1592
886	12387	1578
887	12401	1564
888	12415	1550
889	12430	1536
890	12444	1522
891	12458	1508
892	12472	1494
893	12486	1480
894	12500	1466
895	12515	1452
896	12529	1438
897	12543	1424
898	12557	1410
899	12571	1396
900	12585	1382
901	12598	1368
902	12612	1354
903	12627	1340
904	12640	1326
905	12654	1312
906	12666	1298
907	12681	1284
908	12696	1271
909	12710	1257
910	12723	1243
911	12736	1228
912	12750	1214
913	12763	1200
914	12777	1186
915	12791	1172
916	12805	1159
917	12818	1145
918	12832	1131
919	12845	1116
920	12858	1102
921	12872	1088
922	12885	1074
923	12898	1060
924	12912	1046
925	12924	1032
926	12938	1018
927	12951	1004
928	12964	990
929	12977	976
930	12991	962
931	13004	948
932	13018	934
933	13032	920
934	13045	906
935	13060	893
936	13074	879
937	13088	865
938	13102	851
939	13116	837
940	13130	823
941	13144	809
942	13158	795
943	13171	781
944	13185	767
945	13199	753
946	13213	739
947	13226	725
948	13240	711
949	13255	697
950	13269	683
951	13283	669
952	13297	655
953	13312	641
954	13326	627
955	13339	613
956	13354	600
957	13368	586
958	13383	572
959	13397	558
960	13411	544
961	13425	530
962	13439	516
963	13453	502
964	13467	488
965	13481	474
966	13501	460
967	13516	446
968	13530	432
969	13544	418
970	13558	404
971	13572	390
972	13587	377
973	13601	363
974	13614	349
975	13629	335
976	13643	321
977	13656	307
978	13669	293
979	13684	279
980	13698	265
981	13712	251
982	13726	237
983	13740	223
984	13753	209
985	13768	195
986	13782	181
987	13797	167
988	13811	153
989	13824	139
990	13839	125
991	13852	111
992	13866	97
993	13880	83
994	13894	69
995	13909	55
996	13923	41
997	13937	27
998	13950	13
999	13964	0
